TO.OP,Products List
TO.OCP,Accounts List
TO.OTP,Credit Cards List
TO.DCP,Account Details
TO.DT,Credit Card Details
TO.MCP,Account Transactions
TO.MTP,Credit Card Transactions
TO.CS,Service search
TO.CEDC,EDC service search
TO.CCANTV,CanTv service search
TO.CMOVILNET,Movilnet service search
TO.CMOVISTAR,Movistar service search
TO.CD,Directory Search
TO.PS,Pay a Bill,Txn
TO.TMTB,Transfer Between My Accounts,Txn
TO.TTB,Transfer to Other Person,Txn
TO.TTOB,Transfer to Other Bank,Txn
TO.TMTOB,Transfer to My accounts in other Bank,Txn
TO.PTMTB,My Credit Cards Payment in Banesco,Txn
TO.PTMTOB,My Credit Cards in Other Bank,Txn
TO.PTTB,Other Credit Cards Payment in Banesco,Txn 
TO.PTTOB,Other Credit Cards Payment Other Bank,Txn
TO.CON,Login
TO.DES,Logout
