AED,AED - United Arab Emirates Dirhams
ARS,ARS - Argentine Peso
AUD,AUD - Australian Dollar
CAD,CAD - Canadian Dollar
CHF,CHF - Swiss Franc
DKK,DKK - Danish Krone
EUR,EUR - Euro
GBP,GBP - Pound Sterling
HKD,HKD - Hong Kong Dollar
INR,INR - Indian Rupee
JPY,JPY - Japanese Yen
KWD,KWD - Kuwait Dinars
LBP,LBP - Lebanese Pounds
LKR,LKR - Sri Lankan Rupee
NPR,NPR - Nepali Rupee
NZD,NZD - New Zealand Dollar
PHP,PHP - Philippines Pesos
PLN,PLN - Polish Zloty
SAR,SAR - Saudi Arabia Riyals
SEK,SEK - Swedish Krone
SGD,SGD - Singapore Dollars
THB,THB - Thailand Baht
TWD,TWD - Taiwan New Dollars
USD,USD - US Dollar
XAG,XAG - SILVER in Ounces
XAU,XAU - Gold in Ounces
ZAR,ZAR - South African Rand
