TO.OP,Lista de Productos,
TO.OCP,Lista de Cuentas,
TO.OTP,Lista de Tarjetas de Crédito,
TO.DCP,Detalles de Cuentas,
TO.DT,Detalles de Tarjeta de Crédito,
TO.MCP,Transacciones de Cuentas,
TO.MTP,Transacciones de Tarjetas de Créditos,
TO.CS,Búsqueda de Servicio,
TO.CEDC,Búsqueda de Servicio Edt,
TO.CCANTV,Búsqueda de Servicio CanTv,
TO.CMOVILNET,Búsqueda de Servicio Movilnet,
TO.CMOVISTAR,Búsqueda de Servicio Movistar,
TO.CD,Búsqueda de Directorio,
TO.PS,Pagar un Servicio,Txn
TO.TMTB,Transferencias Entre Mis Cuentas,Txn
TO.TTB,Transferencias a Terceros Banesco,Txn
TO.TTOB,Transferencias a Terceros de Otro Banco,Txn
TO.TMTOB,Transferencias a Mis Cuentas en Otro Banco,Txn
TO.PTMTB,Mis Tarjetas de Crédito en Banesco,Txn
TO.PTMTOB,Mis Tarjetas de Crédito en Otro Banco,Txn
TO.PTTB,Pago a Otras Tarjetas de Crédito en Banesco,Txn 
TO.PTTOB,Pago a Otras Tarjetas de Crédito en Otro Banco,Txn
TO.CON,Inicio de Sesión,
TO.DES,Cierre de Sesión,
